Comment_Period,Method,EG_1,EG_DEC,Subcommittee,Component_Description,Episode_Theme_Description,Comment_No,Commenter_1_Organization,Comment_Excerpt,Comment_Excerpt_Summary,EG_TYPE
2016_12_macra_posting,,Diabetes,Diabetes,Endocrine Disease Management,Other,Provider education,67,American Academy of Home Care Medicine,"More generally, HCC risk adjustment is for total cost of care, not cost within an episode group; and by themselves would not necessarily account for costs across multiple episode groups (for example, CKD, CHF, COPD, and diabetes chronic episode groups). 
Concurrent vs prospective risk adjustment - We recommend that concurrent risk adjustment be used, as analysis supports that diseases and events in the current year drives futures cost. This is particularly the case for the acute episodes.","HCC risk adjustment methodology is for total cost of care and not for cost within or across episode groups.  Concurrent vs. prospective risk adjustment should be used, as studies have found that diseases and events in the current year drive future costs.",Acute Inpatient Medical Condition
2016_12_macra_posting,,Diabetes,Diabetes,Endocrine Disease Management,Risk adj.,Considerations relevant for particular patient populations,64,--,"• Diabetes: This needs to be risk adjusted for patients with Type 1 or Type 2 diabetes, diabetes secondary to steroid usage, and ""brittle"" diabetics.  Patient with diabetic complications like renal disease, vascular disease, neuropathy will do worse.  Patients with long term diabetes and cerebral vascular disease will likely have cognitive impairment that will create compliance issues.  Patients with a noncompliant with diet will have longer stays.  Again acuity adjustment is needed here to ensure beneficiaries with advance disease have no access to care issues.","There is a need to risk adjust the episode group for different ""types"" of diabetes e.g., type 1, type 2, due to steroid use.  These patients will have different severities and complications",Acute Inpatient Medical Condition
2016_12_macra_posting,,Diabetes,Diabetes,Endocrine Disease Management,Risk adj.,Considerations relevant for particular patient populations,39,American Society for Blood and Marrow Transplantation,"Diabetes: This needs to be risk adjusted for patients with Type 1 or Type 2 diabetes, diabetes secondary to steroid usage, and “brittle” diabetics. Patient with diabetic complications like renal disease, vascular disease, neuropathy will do worse. Patients with long term diabetes and cerebral vascular disease will likely have cognitive impairment that will create compliance issues. Patients with a noncompliant with diet will have longer stays.","There is a need to risk adjust the episode group for different ""types"" of diabetes e.g., type 1, type 2, due to steroid use.  These patients will have different severities and complications",Acute Inpatient Medical Condition
2016_12_macra_posting,,Diabetes,Diabetes,Endocrine Disease Management,Attributing the EG,Considerations relevant for particular types of clinicians and clinical decision-making,53,American Podiatric Medical Association,"We appreciate the broad nature of several of the Acute Inpatient Medical Condition Episode Groups such as “ Cellulitis”, “Diabetes”, “Osteomyelitis”, and “Peripheral Vascular Disease” and would like to clarify that there will be a place for podiatric physicians and surgeons to participate within those Episode Groups. For example, podiatric physicians and surgeons frequently provide care for acute inpatients with these conditions.",Podiatric physicians and surgeons will have a place to participate within the Diabetes episode group as they provide acute inpatient care for patients with this condition.,Acute Inpatient Medical Condition
2016_12_macra_posting,,Endocrine Disorders,Endocrine Disorders,Renal Disease Management,Attributing the EG,Additional clinical input needed,25,American Academy of Otolaryngology - Head and Neck Surgery,"Under the list of Acute Inpatient Medical Condition Episode Groups, there are several episode groups that Otolaryngologist Head and Neck Surgeons may indirectly treat by addressing specific components of the treatment, including Acute Ischemic Stroke With Use of Thrombolytic Agent; Acute Myocardial Infarction, Discharge Alive; Acute Myocardial Infarction, Expired; Allergic Reactions; Cardiac Arrhythmia & Conduction Disorders; COPD; Endocrine Disorders; Esophagitis, Gastroenteritis & Miscellaneous Digestive Disorders; Peripheral Vascular Disorders’ Pulmonary Edema & Respiratory Failure;
Pulmonary Embolism; Respiratory System With Ventilator Support < 96 Hours; Respiratory System With Ventilator Support > 96 Hours; and Simple Pneumonia & Pleurisy. The Academy once again calls on CMS to ensure correct episode attribution methodology and develop clear guidance for clinicians so they understand episode group applicability.",It is unclear whether Otolaryngologist Head and Neck Surgeons would be attributed to this episode group.,Acute Inpatient Medical Condition
2016_12_macra_posting,,"Esophagitis, Gastroenteritis & Miscellaneous Digestive Disorders","Esophagitis, Gastroenteritis & Miscellaneous Digestive Disorders",Gastrointestinal Disease Management - Medical and Surgical,Defining an EG,Additional clinical input needed,61,American Gastroenterological Association,"In fact, this approach might be most problematic for the draft “Esophagitis, Gastroenteritis & Miscellaneous Digestive Disorders” episode, in which the proposed MS-DRG trigger codes (391 “Esophagitis, Gastroenteritis and Miscellaneous Digestive Disorders with MCC” and 392 “Esophagitis, Gastroenteritis and Miscellaneous Digestive Disorders without MCC) have more than 200 principal diagnosis codes that capture a heterogeneous set of gastrointestinal conditions, such as infectious enteritis, gastroesophageal reflux disease, and diverticulitis. Using only MS-DRGs to define, measure, and compare costs is extremely problematic.","Using only MS-DRGs to define, measure, and compare costs is extremely problematic for episode groups like this one, which have more than 200 principal diagnosis codes that capture a heterogeneous set of gastrointestinal conditions, such as infectious enteritis, gastroesophageal reflux disease, and diverticulitis.",Acute Inpatient Medical Condition
2016_12_macra_posting,,"Esophagitis, Gastroenteritis & Miscellaneous Digestive Disorders","Esophagitis, Gastroenteritis & Miscellaneous Digestive Disorders",Gastrointestinal Disease Management - Medical and Surgical,Attributing the EG,Considerations relevant for particular types of clinicians and clinical decision-making,25,American Academy of Otolaryngology - Head and Neck Surgery,"Under the list of Acute Inpatient Medical Condition Episode Groups, there are several episode groups that Otolaryngologist Head and Neck Surgeons may indirectly treat by addressing specific components of the treatment, including Acute Ischemic Stroke With Use of Thrombolytic Agent; Acute Myocardial Infarction, Discharge Alive; Acute Myocardial Infarction, Expired; Allergic Reactions; Cardiac Arrhythmia & Conduction Disorders; COPD; Endocrine Disorders; Esophagitis, Gastroenteritis & Miscellaneous Digestive Disorders; Peripheral Vascular Disorders’ Pulmonary Edema & Respiratory Failure;
Pulmonary Embolism; Respiratory System With Ventilator Support < 96 Hours; Respiratory System With Ventilator Support > 96 Hours; and Simple Pneumonia & Pleurisy. The Academy once again calls on CMS to ensure correct episode attribution methodology and develop clear guidance for clinicians so they understand episode group applicability.",Otolaryngologist Head and Neck Surgeons indirectly treat patients in many episode groups. There needs to be clear attribution methodology and clear guidance for clinicians so they understand episode group applicability.,Acute Inpatient Medical Condition
2016_12_macra_posting,,"Esophagitis, Gastroenteritis & Miscellaneous Digestive Disorders","Esophagitis, Gastroenteritis & Miscellaneous Digestive Disorders",Gastrointestinal Disease Management - Medical and Surgical,Defining an EG,Additional clinical input needed,17,American College of Gastroenterology,"Acute groups: ACG believes the draft “esophagitis, gastroenteritis, and miscellaneous digestive disorders” is much too broad of a category to use as individual episodes in clinical practice. This group includes too many specific diagnoses for a meaningful assessment to be made, including identifying triggers, episode windows, and attributing providers, etc.","This episode group is too broad of a category to use as individual episodes in clinical practice. This group includes too many specific diagnoses for a meaningful assessment to be made, including identifying triggers, episode windows, and attributing providers, etc.",Acute Inpatient Medical Condition
2016_12_macra_posting,,Femur Fracture Repair,Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Assigning Costs to the EG,Addition of assigned services,18,Medtronic,"Included services (CPT codes) appropriate (relevant services tab)
Consider adding Dexa codes again as mentioned previously and the codes for lower extremity ultrasound for deep venous thrombosis (93970).
Additionally, consider adding codes for 3D rendering and evaluation which are often helpful in evaluating these cases (76376, 76377).","Dexa codes and codes for lower extremity ultrasound for deep venous thrombosis (93970) should be added to the episode group. Additionally, consider adding codes for 3D rendering and evaluation which are often helpful in evaluating these cases (76376, 76377).",Procedural
2016_12_macra_posting,,Femur Fracture Repair,Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Defining an EG,Additional clinical input needed,29,American Association of Orthopedic Surgeons,"We noted that hip and femur fractures are included under both ‘Acute Inpatient Medical Condition Episode Groups’ as well as under ‘Procedural Episode Group’. Moreover, there was no mention of other inpatient fractures such as, femoral shaft; periprosthetic; tibial plateau, tibial shaft (open or closed fracture); pilon fracture, supracondylar femur fracture, etc. under Acute Episode Inpatient Episode Groups. Thus, CMS needs to clearly define the type of episode group that different kinds of lower extremity fracture treatments will be included in.","Hip and femur fractures are included under both ‘Acute Inpatient Medical Condition Episode Groups’ as well as under ‘Procedural Episode Groups’, though there was no mention of other inpatient fractures such as femoral shaft; periprosthetic; tibia plateau, tibia shaft (open or closed fracture); pilon fracture, supracondylar femur fracture, etc. under Acute Inpatient Medical Condition Episode Groups. It needs to be clear as to which type of episode group different kinds of lower extremity fracture treatments will be considered.",Procedural
2015_10_cms_episode_groups,A,Hip Replacement or Repair,Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Defining an EG,Removal of trigger codes,10,American Association of Orthopedic Surgeons,"Under Method A, the hip replacement or repair episode group should be parallel to a knee arthroplasty. The treatment episode group should read as “hip arthroplasty” and the group should not include any type of repair.","Under Method A, the hip replacement or repair episode group should be parallel to a knee arthroplasty. The treatment episode group should read as “hip arthroplasty” and the group should not include any type of repair.",Procedural
2015_10_cms_episode_groups,A,Hip Replacement or Repair,Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Defining an EG,"Splitting episode groups (e.g., sub-groups)",15,American College of Radiology,Consider revising as independent from a primary procedure. Imaging work up is very different between the two.,Hip Replacement of Repair should be independent from a primary procedure. The imaging work up is very different between the two.,Procedural
2015_10_cms_episode_groups,A,Hip Replacement or Repair,Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Risk adj.,Considerations relevant for particular patient populations,15,American College of Radiology,"Again the indications for a hip revision inherently may lead to a more complicated hospital course, such as infection and revision as opposed to a primary procedure.","A hip revision might inherently lead to a more complicated hospital course, such as infection and revision as opposed to a primary procedure.",Procedural
2015_10_cms_episode_groups,A,Hip Replacement or Repair,Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Assigning Costs to the EG,Addition of assigned services,15,American College of Radiology,"For CPT 20610, arthrocentesis, consider if it is routinely done with fluoroscopic guidance. 
Might consider including CPT 77073, bone length studies. This is listed for the knees and would be occasionally used in these patients.","CPT code 20610, arthrocentesis, should be considered as an assigned service in the episode group if it is routinely done with fluoroscopic guidance. CPT code 77073 should be considered for bone length studies. These codes are listed for knees and would be occasionally used in Hip Replacement patients.",Procedural
2016_04_supplemental_egs,A,Hip Replacement or Repair,Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Assigning Costs to the EG,Addition of assigned services,11,American Occupational Therapy Association,The Hip Replacement episode includes the OT evaluation code (97003) but fails to include the OT reevaluation code (97004) for medically necessary reevaluations. The episode is missing key procedure codes that an occupational therapist would use with this patient population.,"The episode group is missing assigned service codes that an occupational therapist would use with this patient population, such as the OT reevaluation code (94007) for medically necessary reevaluations.",Procedural
2016_04_supplemental_egs,A,Hip Replacement or Repair,Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Defining an EG,Removal of trigger codes,10,American Society of Anesthesiologists,"The following codes should be removed the episode group: 01230 (upper femur procedure not in the episode group; partial hip replacement, e.g., femoral stem is coded to 01210); 01402 (knee replacement is not in the episode group).","The following codes should be removed the episode group: 01230 (upper femur procedure not in the episode group; partial hip replacement, e.g., femoral stem is coded to 01210); 01402 (knee replacement is not in the episode group).",Procedural
2015_10_cms_episode_groups,B,Hip Replacement or Repair,Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Assigning Costs to the EG,Addition of assigned services,18,Medtronic,"mechanical pneumatic compression should be included in the episode as an option, given the evidence supporting the benefits of this therapy in preventing DVT when used post-discharge. The following HCPCS codes for mechanical pneumatic compression should therefore be included in the list of “Relevant Services”: E0676, E0673, A9900, and E0671.  Immobilization after hip surgery may make patients susceptible to the development of pressure ulcers. Physicians should use monitoring technologies available to ensure patients are turned and mobilized regularly to avoid pressure ulcer development. Since this monitoring cannot be identified using claims data, we strongly recommend that the appropriate use of patient monitoring be addressed through appropriate quality measures upon implementation.","Mechanical pneumatic compression should be included in the episode group as an optional assigned service, given the evidence supporting the benefits of this therapy in preventing DVT when used post-discharge. The following HCPCS codes for mechanical pneumatic compression should therefore be included as assigned services: E0676, E0673, A9900, and E0671.",Procedural
2015_10_cms_episode_groups,B,Hip Replacement or Repair,Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Defining an EG,"Splitting episode groups (e.g., sub-groups)",15,American College of Radiology,"Inpatient versus outpatient will differ in this disease process. If admitted, it will usually be related to an acute fracture and fall with the associated comorbidities.","Inpatient versus outpatient treatment for this episode group will differ based on the disease status. If the patient is admitted, it will usually be related to a fracture or pain management related to sequela.",Procedural
2016_04_supplemental_egs,A,"Hip/Femur Fracture or Dislocation Treatment, Inpatient (IP)-Based",Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Defining an EG,Removal of trigger codes,10,American Society of Anesthesiologists,The following codes should be removed from the episode group: 01214 (associated procedure code not in episode group); 01215 (associated procedure code not in episode group).,The following codes should be removed from the episode group: 01214 (associated procedure code not in episode group); 01215 (associated procedure code not in episode group).,Procedural
2015_10_cms_episode_groups,A,"Hip/Femur Fracture or Dislocation Treatment, IP",Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Defining an EG,Removal of trigger codes,10,American Association of Orthopedic Surgeons,"Assigning treatment of hip and femur fractures or dislocations (Method A) to the same episode group is inappropriate as the process of treating fractures is entirely different from how dislocations are addressed. Therefore, this episode group should encompass the treatment of hip fractures only. A dislocation may be either prosthetic or natural and each requires separate and distinct resource use and treatment.",Assigning treatment of hip and femur fractures or dislocations (Method A) to the same episode group is inappropriate as the process of treating fractures is entirely different from the treatment of dislocations. This episode group should only encompass the treatment of hip fractures.,Procedural
2015_10_cms_episode_groups,A,"Hip/Femur Fracture or Dislocation Treatment, IP",Femur Fracture Repair,Musculoskeletal Disease Management - Non-Spine,Assigning Costs to the EG,Addition of assigned services,15,American College of Radiology,CPT 77080-77082 for Dexa scans. May be performed in cases of osteoporotic fractures,CPT codes 77080-77082 for Dexa scans should be considered for inclusion in this episode group. These scans may be performed in cases of osteoporotic fractures.,Procedural
2016_12_macra_posting,,Gastroesophageal Reflux Disease,Gastroesophageal Reflux Disease,Chronic Disease Management,Defining an EG,Removal of trigger codes,61,American Gastroenterological Association,"GERD 
We recommend that CMS make several changes to the trigger codes for GERD: 
Remove ICD-10-CM code K21. This ICD-10-CM code is non-billable as it is a non-specific code.
IBD","Because it is non-billable and non-specific, the following ICD-10-CM code should be removed: K21.",Chronic Condition
2016_12_macra_posting,,Gastroesophageal Reflux Disease,Gastroesophageal Reflux Disease,Chronic Disease Management,Other,Other,65,American Society for Gastrointestinal Endoscopy,"Certain condition-based episodes (for example, GERD) could become too complex based on certain factors, such as the duration of the episode, or the rules for when the episode is triggered. For example, is the episode based on a primary diagnosis or are there other triggering factors. Acute hospitalizations/procedures have a finite beginning and ending, making them more manageable starting points for measuring physician resource use.","This episode group could become too complex based on certain factors, such as the duration of the episode or the rules for when the episode is triggered. For example, the episode may be based on a primary diagnosis or other triggering factors.",Chronic Condition
2015_10_cms_episode_groups,B,GI Hemorrhage,Gastroesophageal Reflux Disease,Chronic Disease Management,Defining an EG,Removal of trigger codes,26,American Society for Gastrointestinal Endoscopy,"We are confident that CMS intends to be transparent and precise in their coding preference, given the recent introduction of ICD-10 and, thus, we recommend elimination of the following code due to lack of specificity: 
569 Other disorders of intestine","Due to lack of specificity, the following trigger code should be eliminated: 569 Other disorders of intestine.",Acute Inpatient Medical Condition
2015_10_cms_episode_groups,B,GI Hemorrhage,Gastroesophageal Reflux Disease,Chronic Disease Management,Assigning Costs to the EG,Addition of assigned services,13,American Society for Gastrointestinal Endoscopy,"However, we recommend that CMS include codes related to other causes of NVUGIB, including: Angioectasias of the stomach or duodenum, Dieulafoy lesions, melena, gastric ulcer, and duodenal ulcer.","Codes related to other causes of NVUGIB, including Angioectasias of the stomach or duodenum, Dieulafoy lesions, melena, gastric ulcer, and duodenal ulcer, should be included in the episode group.",Acute Inpatient Medical Condition
2015_10_cms_episode_groups,B,GI Hemorrhage,Gastroesophageal Reflux Disease,Chronic Disease Management,Defining an EG,"Splitting episode groups (e.g., sub-groups)",14,American College of Physicians,"The College recommends that CMS divide GI hemorrhage into upper and lower GI hemorrhages and consider the possible other procedures that may be needed (e.g., upper endoscopy v. colonoscopy, CT scan may be necessary for lower GI bleed but not for upper GI bleed) as well as frequency of needing surgery, different medications, intensive care unit (ICU) stays, etc., which are different when the condition is upper (e.g., esophagitis, varices, ulcer) versus lower (e.g., diverticular, ischemic bowel).","The GI Hemorrhage episode group should be divided into upper and lower GI hemorrhage as there are procedures that should be considered (e.g., upper endoscopy v. colonoscopy, CT scan, which may be necessary for a lower GI bleed but not for an upper GI bleed) as well as frequency of needing surgery, different medications, intensive care unit (ICU) stays, etc., which are different when the condition is upper GI (e.g., esophagitis, varices, ulcer) versus lower GI (e.g., diverticular, ischemic bowel).",Acute Inpatient Medical Condition
2015_10_cms_episode_groups,B,GI Hemorrhage,Gastroesophageal Reflux Disease,Chronic Disease Management,Defining an EG,"Splitting episode groups (e.g., sub-groups)",26,American Society for Gastrointestinal Endoscopy,"Upper GI bleeding related to portal hypertension should not be included in this episode, because of the complexity and significantly different risks and care pathways that can be incurred in this patient population.","Upper GI bleeding related to portal hypertension should not be included in the GI Hemorrhage episode group, because of the complexity and significantly different risks and care pathways that can be incurred in this patient population. This episode group should be split into non-variceal upper GI bleed and lower GI bleed.",Acute Inpatient Medical Condition
2015_10_cms_episode_groups,B,GI Hemorrhage,Gastroesophageal Reflux Disease,Chronic Disease Management,Defining an EG,Addition of trigger codes,6,American Gastroenterological Association,"We agree with the list of trigger codes included in Appendix B, but ask that CMS expand on the current list and add the following trigger codes for GI Hemorrhage (Method B): 
• ICD-9 530.82 – Esophageal hemorrhage; 
• ICD-9 531.01 – Acute gastric ulcer with hemorrhage, with obstruction; 
• ICD-9 531.20 – Acute gastric ulcer with hemorrhage and perforation, without mention of obstruction; 
• ICD-9 531.21 – Acute gastric ulcer with hemorrhage and perforation, with obstruction; 
• ICD-9 531.40 – Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction; 
• ICD-9 531.41 – Chronic or unspecified gastric ulcer with hemorrhage, with obstruction; 
• ICD-9 531.60 – Chronic or unspecified gastric ulcer with hemorrhage and perforation, without mention of obstruction; 
• ICD-9 531.61 – Chronic or unspecified gastric ulcer with hemorrhage and perforation, with obstruction; 
• ICD-9 532.01 – Acute duodenal ulcer with hemorrhage, with obstruction; 
• ICD-9 532.20 – Acute duodenal ulcer with hemorrhage and perforation, without mention of obstruction; 
• ICD-9 532.21 – Acute duodenal ulcer with hemorrhage and perforation, with obstruction; 
• ICD-9 532.40 – Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction; 
• ICD-9 532.41 – Chronic or unspecified duodenal ulcer with hemorrhage, with obstruction; 
• ICD-9 532.60 – Chronic or unspecified duodenal ulcer with hemorrhage and perforation, without mention of obstruction; 
• ICD-9 532.61 – Chronic or unspecified duodenal ulcer with hemorrhage and perforation, with obstruction; 
• ICD-9 533.01 – Acute peptic ulcer of unspecified site with hemorrhage, with 
• ICD-9 533.20 – Acute peptic ulcer of unspecified site with hemorrhage and perforation, without mention of obstruction; 
• ICD-9 533.21 – Acute peptic ulcer of unspecified site with hemorrhage and perforation, with obstruction; 
• ICD-9 533.40 – Chronic or unspecified peptic ulcer of unspecified site with hemorrhage, without mention of obstruction; 
• ICD-9 533.41 – Chronic or unspecified peptic ulcer of unspecified site with hemorrhage, with obstruction; 
• ICD-9 533.60 – Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation, without mention of obstruction; 
• ICD-9 533.61 – Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation, with obstruction; 
• ICD-9 534.01 – Acute gastrojejunal ulcer, with hemorrhage, with obstruction; 
• ICD-9 534.20 – Acute gastrojejunal ulcer with hemorrhage and perforation, without mention of obstruction; 
• ICD-9 534.21 – Acute gastrojejunal ulcer with hemorrhage and perforation, with obstruction; 
• ICD-9 534.40 – Chronic or unspecified gastrojejunal ulcer with hemorrhage, without mention of obstruction; 
• ICD-9 534.41 – Chronic or unspecified gastrojejunal ulcer, with hemorrhage, with obstruction; 
• ICD-9 534.60 – Chronic or unspecified gastrojejunal ulcer with hemorrhage and perforation, without mention of obstruction; 
• ICD-9 534.61 – Chronic or unspecified gastrojejunal ulcer with hemorrhage and perforation, with obstruction; 
• ICD-9 535.01 – Acute gastritis, with hemorrhage; 
• ICD-9 535.11 – Atrophic gastritis, with hemorrhage; 
• ICD-9 535.21 – Gastric mucosal hypertrophy, with hemorrhage; 
• ICD-9 535.41 – Other specified gastritis, with hemorrhage; 
• ICD-9 535.51 – Unspecified gastritis and gastroduodenitis, with hemorrhage; 
ICD-9 535.61 – Duodenitis, with hemorrhage; 
• ICD-9 535.71 – Eosinophilic gastritis, with hemorrhage; 
• ICD-9 569.30 – Hemorrhage of rectum and anus; 
• ICD-9 578.10 – Blood in stool; and 
• ICD-9 578.90 – Hemorrhage of gastrointestinal tract, unspecified.","The following trigger codes should be added to this episode group: ICD-9 530.82 – Esophageal hemorrhage, ICD-9 531.01 – Acute gastric ulcer with hemorrhage, with obstruction, ICD-9 531.20 – Acute gastric ulcer with hemorrhage and perforation, without mention of obstruction, ICD-9 531.21 – Acute gastric ulcer with hemorrhage and perforation, with obstruction, ICD-9 531.40 – Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction, ICD-9 531.41 – Chronic or unspecified gastric ulcer with hemorrhage, with obstruction, ICD-9 531.60 – Chronic or unspecified gastric ulcer with hemorrhage and perforation, without mention of obstruction, ICD-9 531.61 – Chronic or unspecified gastric ulcer with hemorrhage and perforation, with obstruction, ICD-9 532.01 – Acute duodenal ulcer with hemorrhage, with obstruction, ICD-9 532.20 – Acute duodenal ulcer with hemorrhage and perforation, without mention of obstruction, ICD-9 532.21 – Acute duodenal ulcer with hemorrhage and perforation, with obstruction, ICD-9 532.40 – Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction, ICD-9 532.41 – Chronic or unspecified duodenal ulcer with hemorrhage, with obstruction, ICD-9 532.60 – Chronic or unspecified duodenal ulcer with hemorrhage and perforation, without mention of obstruction, ICD-9 532.61 – Chronic or unspecified duodenal ulcer with hemorrhage and perforation, with obstruction, ICD-9 533.01 – Acute peptic ulcer of unspecified site with hemorrhage, with, ICD-9 533.20 – Acute peptic ulcer of unspecified site with hemorrhage and perforation, without mention of obstruction, ICD-9 533.21 – Acute peptic ulcer of unspecified site with hemorrhage and perforation, with obstruction, ICD-9 533.40 – Chronic or unspecified peptic ulcer of unspecified site with hemorrhage, without mention of obstruction, ICD-9 533.41 – Chronic or unspecified peptic ulcer of unspecified site with hemorrhage, with obstruction, ICD-9 533.60 – Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation, without mention of obstruction, ICD-9 533.61 – Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation, with obstruction, ICD-9 534.01 – Acute gastrojejunal ulcer, with hemorrhage, with obstruction, ICD-9 534.20 – Acute gastrojejunal ulcer with hemorrhage and perforation, without mention of obstruction, ICD-9 534.21 – Acute gastrojejunal ulcer with hemorrhage and perforation, with obstruction, ICD-9 534.40 – Chronic or unspecified gastrojejunal ulcer with hemorrhage, without mention of obstruction, ICD-9 534.41 – Chronic or unspecified gastrojejunal ulcer, with hemorrhage, with obstruction, ICD-9 534.60 – Chronic or unspecified gastrojejunal ulcer with hemorrhage and perforation, without mention of obstruction, ICD-9 534.61 – Chronic or unspecified gastrojejunal ulcer with hemorrhage and perforation, with obstruction, ICD-9 535.01 – Acute gastritis, with hemorrhage, ICD-9 535.11 – Atrophic gastritis, with hemorrhage, ICD-9 535.21 – Gastric mucosal hypertrophy, with hemorrhage, ICD-9 535.41 – Other specified gastritis, with hemorrhage, ICD-9 535.51 – Unspecified gastritis and gastroduodenitis, with hemorrhage, ICD-9 535.61 – Duodenitis, with hemorrhage, ICD-9 535.71 – Eosinophilic gastritis, with hemorrhage, ICD-9 569.30 – Hemorrhage of rectum and anus, ICD-9 578.10 – Blood in stool, and ICD-9 578.90 – Hemorrhage of gastrointestinal tract, unspecified.",Acute Inpatient Medical Condition
2015_10_cms_episode_groups,B,GI Hemorrhage,Gastroesophageal Reflux Disease,Chronic Disease Management,Attributing the EG,Considerations relevant for particular types of clinicians and clinical decision-making,13,American Society for Gastrointestinal Endoscopy,"For this episode, an interdisciplinary hospital team has the greatest influence on all of the health care provided by this episode, and, therefore, the hospital should be the principle accountable provider.","For this episode, an interdisciplinary hospital team has the greatest influence on all of the health care provided by this episode, and, therefore, the hospital should be the principle accountable provider.",Acute Inpatient Medical Condition
2015_10_cms_episode_groups,B,GI Hemorrhage,Gastroesophageal Reflux Disease,Chronic Disease Management,Assigning Costs to the EG,Decrease length of episode window,13,American Society for Gastrointestinal Endoscopy,"The appropriate episode window for GI hemorrhage should be 30 days after discharge as recurrent bleeding from sources such as an ulcer is most likely to occur during this interval, and this window can include rehabilitation service intervals for the infirm. We also feel that this should be limited to patients admitted with a primary diagnosis of NVUGIB and not those who develop bleeding during a hospitalization for some other reason.","The appropriate episode window for GI hemorrhage should be 30 days after discharge, as recurrent bleeding from sources such as an ulcers are most likely to occur during this interval, and this window can include rehabilitation service intervals for the infirm.",Acute Inpatient Medical Condition
2015_10_cms_episode_groups,B,GI Hemorrhage,Gastroesophageal Reflux Disease,Chronic Disease Management,Assigning Costs to the EG,Addition of assigned services,20,American Gastroenterological Association,"The following relevant service codes should be added for this episode group: CPT 43204 – Esoph scope w/sclerosis inj, CPT 43205 – Esophagus endoscopy/ligatio, CPT 43227 – Esophagoscopy control bleed, CPT 43243 – EGD injection varices, CPT 43244 – EGD varices ligation, CPT 44366 – EGD endoscopic stent place, CPT 44378 – ERCP lesion ablate w/dilate, CPT 44391 – Colonoscopy through stoma w/control bleed, CPT 45317 – Proctosigmoidscopy bleed, CPT 45334 – Flexible sigmoidoscopy w/control bleed, CPT 45382 – Colonoscopy w/control bleed, CPT 91111 – Esophageal capsule endoscopy, CPT 99212 – Established outpatient visit, CPT 99215 – Established outpatient visit, CPT 99221 – Initial hospital care, CPT 99231 – Subsequent hospital care, and CPT 00810 – Anesth low intestine scope.","The following relevant service codes should be added for this episode group: CPT 43204 – Esoph scope w/sclerosis inj, CPT 43205 – Esophagus endoscopy/ligatio, CPT 43227 – Esophagoscopy control bleed, CPT 43243 – EGD injection varices, CPT 43244 – EGD varices ligation, CPT 44366 – EGD endoscopic stent place, CPT 44378 – ERCP lesion ablate w/dilate, CPT 44391 – Colonoscopy through stoma w/control bleed, CPT 45317 – Proctosigmoidscopy bleed, CPT 45334 – Flexible sigmoidoscopy w/control bleed, CPT 45382 – Colonoscopy w/control bleed, CPT 91111 – Esophageal capsule endoscop, CPT 99212 – Established outpatient visit, CPT 99215 – Established outpatient visit, CPT 99221 – Initial hospital care, CPT 99231 – Subsequent hospital care, and CPT 00810 – Anesth low intestine scope.",Acute Inpatient Medical Condition
2015_10_cms_episode_groups,B,GI Hemorrhage,Gastroesophageal Reflux Disease,Chronic Disease Management,Attributing the EG,Considerations relevant for particular types of clinicians and clinical decision-making,26,American Society for Gastrointestinal Endoscopy,Management of sources such as hemorrhoidal bleeding and anal fissure can be accomplished on an outpatient or observational basis. The responsible provider should be the endoscopist or surgeon.,Management of sources such as hemorrhoidal bleeding and anal fissure can be accomplished on an outpatient or observational basis. The responsible provider should be the endoscopist or surgeon.,Acute Inpatient Medical Condition
2015_10_cms_episode_groups,B,GI Hemorrhage,Gastroesophageal Reflux Disease,Chronic Disease Management,Assigning Costs to the EG,Addition of assigned services,26,American Society for Gastrointestinal Endoscopy,"However, we recommend that CMS include codes related to other causes of NVUGIB, including: Angioectasias of the stomach or duodenum, Dieulafoy lesions, melena, gastric ulcer, and duodenal ulcer.","Codes related to other causes of NVUGIB should be added, including: Angioectasias of the stomach or duodenum, Dieulafoy lesions, melena, gastric ulcer, and duodenal ulcer.",Acute Inpatient Medical Condition
